Full.Country.Name;ISO3.Code;Region.Code
Aruba;ABW;ROW
Afghanistan;AFG;ROW
Angola;AGO;ROW
Anguilla;AIA;ROW
Aland Islands;ALA;ROW
Albania;ALB;ROW
Andorra;AND;ROW
United Arab Emirates;ARE;MEA
Argentina;ARG;SAM
Armenia;ARM;ROW
American Samoa;ASM;ROW
Antarctica;ATA;ROW
French Southern Territories;ATF;ROW
Antigua and Barbuda;ATG;ROW
Australia;AUS;OMP
Austria;AUT;EUR
Azerbaijan;AZE;OMP
Burundi;BDI;ROW
Belgium;BEL;EUR
Benin;BEN;ROW
Bonaire, Sint Eustatius and Saba;BES;ROW
Burkina Faso;BFA;ROW
Bangladesh;BGD;ROW
Bulgaria;BGR;EUR
Bahrain;BHR;MEA
Bahamas;BHS;ROW
Bosnia and Herzegovina;BIH;ROW
Saint Barthelemy;BLM;ROW
Belarus;BLR;ROW
Belize;BLZ;ROW
Bermuda;BMU;ROW
Bolivia, Plurinational State of;BOL;ROW
Brazil;BRA;SAM
Barbados;BRB;ROW
Brunei Darussalam;BRN;ROW
Bhutan;BTN;ROW
Bouvet Island;BVT;ROW
Botswana;BWA;ROW
Central African Republic;CAF;ROW
Canada;CAN;NAM
Cocos (Keeling) Islands;CCK;ROW
China;CHN;CHN
Switzerland;CHE;EUR
Chile;CHL;ROW
Cote d Ivoire;CIV;ROW
Cameroon;CMR;OMP
Congo, the Democratic Republic of the;COD;ROW
Congo;COG;ROW
Cook Islands;COK;ROW
Colombia;COL;ROW
Comoros;COM;ROW
Cape Verde;CPV;ROW
Costa Rica;CRI;ROW
Cuba;CUB;ROW
Curacao;CUW;ROW
Christmas Island;CXR;ROW
Cayman Islands;CYM;ROW
Cyprus;CYP;EUR
Czech Republic;CZE;EUR
Germany;DEU;EUR
Djibouti;DJI;ROW
Dominica;DMA;ROW
Denmark;DNK;EUR
Dominican Republic;DOM;SAM
Algeria;DZA;ROW
Ecuador;ECU;ROW
Egypt;EGY;OMP
Eritrea;ERI;ROW
Western Sahara;ESH;ROW
Spain;ESP;EUR
Estonia;EST;EUR
Ethiopia;ETH;ROW
Finland;FIN;EUR
Fiji;FJI;OMP
Falkland Islands (Malvinas);FLK;ROW
France;FRA;EUR
Faroe Islands;FRO;ROW
Micronesia, Federated States of;FSM;ROW
Gabon;GAB;ROW
United Kingdom;GBR;GBR
Georgia;GEO;ROW
Guernsey;GGY;ROW
Ghana;GHA;ROW
Gibraltar;GIB;ROW
Guinea;GIN;OMP
Guadeloupe;GLP;ROW
Gambia;GMB;ROW
Guinea-Bissau;GNB;ROW
Equatorial Guinea;GNQ;ROW
Greece;GRC;EUR
Grenada;GRD;ROW
Greenland;GRL;ROW
Guatemala;GTM;ROW
French Guiana;GUF;ROW
Guam;GUM;ROW
Guyana;GUY;SAM
Hong Kong;HKG;ROW
Heard Island and McDonald Islands;HMD;ROW
Honduras;HND;ROW
Croatia;HRV;EUR
Haiti;HTI;SAM
Hungary;HUN;EUR
Indonesia;IDN;OAS
Isle of Man;IMN;ROW
India;IND;OAS
British Indian Ocean Territory;IOT;ROW
Ireland;IRL;EUR
Iran, Islamic Republic of;IRN;MEA
Iraq;IRQ;ROW
Iceland;ISL;EUR
Israel;ISR;ROW
Italy;ITA;EUR
Jamaica;JAM;SAM
Jersey;JEY;ROW
Jordan;JOR;ROW
Japan;JPN;JPN
Kazakhstan;KAZ;OMP
Kenya;KEN;ROW
Kyrgyzstan;KGZ;ROW
Cambodia;KHM;ROW
Kiribati;KIR;ROW
Saint Kitts and Nevis;KNA;ROW
Korea, Republic of;KOR;OAS
Kuwait;KWT;ROW
Lao People's Democratic Republic;LAO;ROW
Lebanon;LBN;ROW
Liberia;LBR;ROW
Libya;LBY;ROW
Saint Lucia;LCA;ROW
Liechtenstein;LIE;ROW
Sri Lanka;LKA;ROW
Lesotho;LSO;ROW
Lithuania;LTU;EUR
Luxembourg;LUX;EUR
Latvia;LVA;EUR
Macao;MAC;ROW
Saint Martin (French part);MAF;ROW
Morocco;MAR;ROW
Monaco;MCO;ROW
Moldova, Republic of;MDA;EUR
Madagascar;MDG;ROW
Maldives;MDV;ROW
Mexico;MEX;SAM
Marshall Islands;MHL;ROW
Macedonia, the former Yugoslav Republic of;MKD;EUR
Mali;MLI;ROW
Malta;MLT;EUR
Myanmar;MMR;ROW
Montenegro;MNE;EUR
Mongolia;MNG;ROW
Northern Mariana Islands;MNP;ROW
Mozambique;MOZ;ROW
Mauritania;MRT;ROW
Montserrat;MSR;ROW
Martinique;MTQ;ROW
Mauritius;MUS;ROW
Malawi;MWI;ROW
Malaysia;MYS;OAS
Mayotte;MYT;ROW
Namibia;NAM;ROW
New Caledonia;NCL;ROW
Niger;NER;ROW
Norfolk Island;NFK;ROW
Nigeria;NGA;ROW
Nicaragua;NIC;ROW
Niue;NIU;ROW
Netherlands;NLD;EUR
Norway;NOR;EUR
Nepal;NPL;ROW
Nauru;NRU;ROW
New Zealand;NZL;OMP
Oman;OMN;MEA
Pakistan;PAK;OAS
Panama;PAN;ROW
Pitcairn;PCN;ROW
Peru;PER;ROW
Philippines;PHL;ROW
Palau;PLW;ROW
Papua New Guinea;PNG;ROW
Poland;POL;EUR
Puerto Rico;PRI;ROW
Korea, Democratic People's Republic of;PRK;ROW
Portugal;PRT;EUR
Paraguay;PRY;ROW
Palestine, State of;PSE;ROW
French Polynesia;PYF;ROW
Qatar;QAT;MEA
Reunion;REU;ROW
Romania;ROU;EUR
Russian Federation;RUS;OMP
Rwanda;RWA;ROW
Saudi Arabia;SAU;MEA
Sudan;SDN;ROW
Senegal;SEN;ROW
Singapore;SGP;OAS
South Georgia and the South Sandwich Islands;SGS;ROW
Saint Helena, Ascension and Tristan da Cunha;SHN;ROW
Svalbard and Jan Mayen;SJM;ROW
Solomon Islands;SLB;ROW
Sierra Leone;SLE;OMP
El Salvador;SLV;ROW
San Marino;SMR;ROW
Somalia;SOM;ROW
Saint Pierre and Miquelon;SPM;ROW
Serbia;SRB;EUR
South Sudan;SSD;ROW
Sao Tome and Principe;STP;ROW
Suriname;SUR;SAM
Slovakia;SVK;EUR
Slovenia;SVN;EUR
Sweden;SWE;EUR
Swaziland;SWZ;ROW
Sint Maarten (Dutch part);SXM;ROW
Seychelles;SYC;ROW
Syrian Arab Republic;SYR;ROW
Turks and Caicos Islands;TCA;ROW
Chad;TCD;ROW
Togo;TGO;ROW
Thailand;THA;OAS
Tajikistan;TJK;ROW
Tokelau;TKL;ROW
Turkmenistan;TKM;ROW
Timor-Leste;TLS;ROW
Tonga;TON;ROW
Trinidad and Tobago;TTO;ROW
Tunisia;TUN;ROW
Turkey;TUR;EUR
Tuvalu;TUV;ROW
Taiwan, Province of China;TWN;OAS
Tanzania, United Republic of;TZA;OMP
Uganda;UGA;ROW
Ukraine;UKR;EUR
United States Minor Outlying Islands;UMI;ROW
Uruguay;URY;ROW
United States;USA;NAM
Uzbekistan;UZB;ROW
Holy See (Vatican City State);VAT;ROW
Saint Vincent and the Grenadines;VCT;ROW
Venezuela, Bolivarian Republic of;VEN;SAM
Virgin Islands, British;VGB;ROW
Virgin Islands, U.S.;VIR;ROW
Viet Nam;VNM;OAS
