Full.Country.Name,ISO3.Code,Region.Code,IMAGE.Region
Aruba,ABW,LAM,Central America
Afghanistan,AFG,OAS,Rest of South Asia
Angola,AGO,SSA,Rest of South Africa
Anguilla,AIA,LAM,Central America
Aland Islands,ALA,NEU,West Europe
Albania,ALB,NEU,Central Europe
Andorra,AND,NEU,West Europe
United Arab Emirates,ARE,MEA,Middle East
Argentina,ARG,LAM,Rest of South-America
Armenia,ARM,REF,Russia
American Samoa,ASM,OAS,Oceania
Antarctica,ATA,LAM,Rest of South-America
French Southern Territories,ATF,OAS,Oceania
Antigua and Barbuda,ATG,LAM,Central America
Australia,AUS,CAZ,Oceania
Austria,AUT,AUT,West Europe
Azerbaijan,AZE,REF,Russia
Burundi,BDI,SSA,East Africa
Belgium,BEL,BEL,West Europe
Benin,BEN,SSA,West Africa
"Bonaire, Sint Eustatius and Saba",BES,LAM,Central America
Burkina Faso,BFA,SSA,West Africa
Bangladesh,BGD,OAS,Rest of South Asia
Bulgaria,BGR,BGR,Central Europe
Bahrain,BHR,MEA,Middle East
Bahamas,BHS,LAM,Central America
Bosnia and Herzegovina,BIH,NEU,Central Europe
Saint Barthelemy,BLM,LAM,Central America
Belarus,BLR,REF,Ukraine
Belize,BLZ,LAM,Central America
Bermuda,BMU,LAM,Central America
"Bolivia, Plurinational State of",BOL,LAM,Rest of South-America
Brazil,BRA,LAM,Brazil
Barbados,BRB,LAM,Central America
Brunei Darussalam,BRN,OAS,South East Asia
Bhutan,BTN,OAS,Rest of South Asia
Bouvet Island,BVT,LAM,West Europe
Botswana,BWA,SSA,Rest of South Africa
Central African Republic,CAF,SSA,West Africa
Canada,CAN,CAZ,Canada
Cocos (Keeling) Islands,CCK,OAS,Oceania
China,CHN,CHA,China+
Switzerland,CHE,NEU,West Europe
Chile,CHL,LAM,Rest of South-America
Cote d Ivoire,CIV,SSA,West Africa
Cameroon,CMR,SSA,West Africa
"Congo, the Democratic Republic of the",COD,SSA,West Africa
Congo,COG,SSA,West Africa
Cook Islands,COK,OAS,Oceania
Colombia,COL,LAM,Rest of South-America
Comoros,COM,SSA,East Africa
Cape Verde,CPV,SSA,West Africa
Costa Rica,CRI,LAM,Central America
Cuba,CUB,LAM,Central America
Curacao,CUW,LAM,Central America
Christmas Island,CXR,OAS,Oceania
Cayman Islands,CYM,LAM,Central America
Cyprus,CYP,CYP,Central Europe
Czech Republic,CZE,CZE,Central Europe
Germany,DEU,DEU,West Europe
Djibouti,DJI,SSA,East Africa
Dominica,DMA,LAM,Central America
Denmark,DNK,DNK,West Europe
Dominican Republic,DOM,LAM,Central America
Algeria,DZA,MEA,North Africa
Ecuador,ECU,LAM,Rest of South-America
Egypt,EGY,MEA,North Africa
Eritrea,ERI,SSA,East Africa
Western Sahara,ESH,MEA,North Africa
Spain,ESP,ESP,West Europe
Estonia,EST,EST,Central Europe
Ethiopia,ETH,SSA,East Africa
Finland,FIN,FIN,West Europe
Fiji,FJI,OAS,Oceania
Falkland Islands (Malvinas),FLK,LAM,Rest of South-America
France,FRA,FRA,West Europe
Faroe Islands,FRO,NEU,West Europe
"Micronesia, Federated States of",FSM,OAS,Oceania
Gabon,GAB,SSA,West Africa
United Kingdom,GBR,GBR,West Europe
Georgia,GEO,REF,Russia
Guernsey,GGY,NEU,West Europe
Ghana,GHA,SSA,West Africa
Gibraltar,GIB,NEU,West Europe
Guinea,GIN,SSA,West Africa
Guadeloupe,GLP,LAM,Central America
Gambia,GMB,SSA,West Africa
Guinea-Bissau,GNB,SSA,West Africa
Equatorial Guinea,GNQ,SSA,West Africa
Greece,GRC,GRC,West Europe
Grenada,GRD,LAM,Central America
Greenland,GRL,NEU,West Europe
Guatemala,GTM,LAM,Central America
French Guiana,GUF,LAM,Rest of South-America
Guam,GUM,OAS,Oceania
Guyana,GUY,LAM,Rest of South-America
Hong Kong,HKG,CHA,China+
Heard Island and McDonald Islands,HMD,CAZ,Oceania
Honduras,HND,LAM,Central America
Croatia,HRV,HRV,Central Europe
Haiti,HTI,LAM,Central America
Hungary,HUN,HUN,Central Europe
Indonesia,IDN,OAS,Indonesia
Isle of Man,IMN,NEU,West Europe
India,IND,IND,India
British Indian Ocean Territory,IOT,OAS,Oceania
Ireland,IRL,IRL,West Europe
"Iran, Islamic Republic of",IRN,MEA,Middle East
Iraq,IRQ,MEA,Middle East
Iceland,ISL,NEU,West Europe
Israel,ISR,MEA,Middle East
Italy,ITA,ITA,West Europe
Jamaica,JAM,LAM,Central America
Jersey,JEY,NEU,West Europe
Jordan,JOR,MEA,Middle East
Japan,JPN,JPN,Japan
Kazakhstan,KAZ,REF,Kazachstan
Kenya,KEN,SSA,East Africa
Kyrgyzstan,KGZ,REF,Kazachstan
Cambodia,KHM,OAS,South East Asia
Kiribati,KIR,OAS,Oceania
Saint Kitts and Nevis,KNA,LAM,Central America
"Korea, Republic of",KOR,OAS,Korea
Kuwait,KWT,MEA,Middle East
