globiom_region,openprom_region
ArgentinaReg,LAM
AustraliaReg,CAZ
Austria,AUT
Belgium,BEL
BrazilReg,LAM
Bulgaria,BGR
CanadaReg,CAZ
ChinaReg,CHA
CongoBasin,SSA
Croatia,HRV
Cyprus,CYP
Czech Republic,CZE
Denmark,DNK
EasternAf,SSA
Estonia,EST
Finland,FIN
Former_USSR,REF
France,FRA
Germany,DEU
Greece,GRC
Hungary,HUN
IndiaReg,IND
IndonesiaReg,OAS
Ireland,IRL
Italy,ITA
JapanReg,JPN
Latvia,LVA
Lithuania,LTU
Luxembourg,LUX
MalaysiaReg,OAS
Malta,MLT
MexicoReg,LAM
MiddleEast,MEA
Netherlands,NLD
NewZealandReg,CAZ
NorthernAf,MEA
Pacific_Islands,OAS
Poland,POL
Portugal,PRT
RCAM,LAM
RCEU,NEU
ROWE,NEU
RSAM,LAM
RSAS,OAS
RSEA_OPA,OAS
RSEA_PAC,OAS
Romania,ROU
RussiaReg,REF
Slovakia,SVK
Slovenia,SVN
SouthAfrReg,SSA
SouthKorea,OAS
SouthernAf,SSA
Spain,ESP
Sweden,SWE
TurkeyReg,NEU
USAReg,USA
UkraineReg,REF
United Kingdom,GBR
WesternAf,SSA
