Full.Country.Name;ISO3.Code;Region.Code
Aruba;ABW;North America
Afghanistan;AFG;Asia (excluding China)
Angola;AGO;Africa
Anguilla;AIA;North America
Aland Islands;ALA;Europe
Albania;ALB;Europe
Andorra;AND;Europe
United Arab Emirates;ARE;Asia (excluding China)
Argentina;ARG;South America
Armenia;ARM;Asia (excluding China)
American Samoa;ASM;Oceania
Antarctica;ATA;South America
French Southern Territories;ATF;Africa
Antigua and Barbuda;ATG;North America
Australia;AUS;Oceania
Austria;AUT;Europe
Azerbaijan;AZE;Asia (excluding China)
Burundi;BDI;Africa
Belgium;BEL;Europe
Benin;BEN;Africa
Bonaire, Sint Eustatius and Saba;BES;North America
Burkina Faso;BFA;Africa
Bangladesh;BGD;Asia (excluding China)
Bulgaria;BGR;Europe
Bahrain;BHR;Asia (excluding China)
Bahamas;BHS;North America
Bosnia and Herzegovina;BIH;Europe
Saint Barthelemy;BLM;North America
Belarus;BLR;Europe
Belize;BLZ;North America
Bermuda;BMU;North America
Bolivia, Plurinational State of;BOL;South America
Brazil;BRA;South America
Barbados;BRB;North America
Brunei Darussalam;BRN;Asia (excluding China)
Bhutan;BTN;Asia (excluding China)
Bouvet Island;BVT;South America
Botswana;BWA;Africa
Central African Republic;CAF;Africa
Canada;CAN;North America
Cocos (Keeling) Islands;CCK;Oceania
China;CHN;China
Switzerland;CHE;Europe
Chile;CHL;South America
Cote d Ivoire;CIV;Africa
Cameroon;CMR;Africa
Congo, the Democratic Republic of the;COD;Africa
Congo;COG;Africa
Cook Islands;COK;Oceania
Colombia;COL;South America
Comoros;COM;Africa
Cape Verde;CPV;Africa
Costa Rica;CRI;North America
Cuba;CUB;North America
Curacao;CUW;North America
Christmas Island;CXR;Oceania
Cayman Islands;CYM;North America
Cyprus;CYP;Asia (excluding China)
Czech Republic;CZE;Europe
Germany;DEU;Europe
Djibouti;DJI;Africa
Dominica;DMA;North America
Denmark;DNK;Europe
Dominican Republic;DOM;North America
Algeria;DZA;Africa
Ecuador;ECU;South America
Egypt;EGY;Africa
Eritrea;ERI;Africa
Western Sahara;ESH;Africa
Spain;ESP;Europe
Estonia;EST;Europe
Ethiopia;ETH;Africa
Finland;FIN;Europe
Fiji;FJI;Oceania
Falkland Islands (Malvinas);FLK;South America
France;FRA;Europe
Faroe Islands;FRO;Europe
Micronesia, Federated States of;FSM;Oceania
Gabon;GAB;Africa
United Kingdom;GBR;Europe
Georgia;GEO;Asia (excluding China)
Guernsey;GGY;Europe
Ghana;GHA;Africa
Gibraltar;GIB;Europe
Guinea;GIN;Africa
Guadeloupe;GLP;North America
Gambia;GMB;Africa
Guinea-Bissau;GNB;Africa
Equatorial Guinea;GNQ;Africa
Greece;GRC;Europe
Grenada;GRD;North America
Greenland;GRL;North America
Guatemala;GTM;North America
French Guiana;GUF;South America
Guam;GUM;Oceania
Guyana;GUY;South America
Hong Kong;HKG;Asia (excluding China)
Heard Island and McDonald Islands;HMD;Oceania
Honduras;HND;North America
Croatia;HRV;Europe
Haiti;HTI;North America
Hungary;HUN;Europe
Indonesia;IDN;Asia (excluding China)
Isle of Man;IMN;Europe
India;IND;Asia (excluding China)
British Indian Ocean Territory;IOT;Asia (excluding China)
Ireland;IRL;Europe
Iran, Islamic Republic of;IRN;Asia (excluding China)
Iraq;IRQ;Asia (excluding China)
Iceland;ISL;Europe
Israel;ISR;Asia (excluding China)
Italy;ITA;Europe
Jamaica;JAM;North America
Jersey;JEY;Europe
Jordan;JOR;Asia (excluding China)
Japan;JPN;Asia (excluding China)
Kazakhstan;KAZ;Asia (excluding China)
Kenya;KEN;Africa
Kyrgyzstan;KGZ;Asia (excluding China)
Cambodia;KHM;Asia (excluding China)
Kiribati;KIR;Oceania
Saint Kitts and Nevis;KNA;North America
Korea, Republic of;KOR;Asia (excluding China)
Kuwait;KWT;Asia (excluding China)
Lao People's Democratic Republic;LAO;Asia (excluding China)
