Full.Country.Name;ISO3.Code;Region.Code;Continent.Code
Aruba;ABW;LAM;AMERICAS
Afghanistan;AFG;OAS;ASIA
Angola;AGO;SSA;AFRICA
Anguilla;AIA;LAM;AMERICAS
Aland Islands;ALA;ELL;EUROPE
Albania;ALB;NEU;EUROPE
Andorra;AND;NEU;EUROPE
United Arab Emirates;ARE;MEA;ASIA
Argentina;ARG;LAM;AMERICAS
Armenia;ARM;REF;ASIA
American Samoa;ASM;OAS;OCEANIA
Antarctica;ATA;LAM;AMERICAS
French Southern Territories;ATF;OAS;OCEANIA
Antigua and Barbuda;ATG;LAM;AMERICAS
Australia;AUS;CAZ;OCEANIA
Austria;AUT;AUT;EUROPE
Azerbaijan;AZE;REF;ASIA
Burundi;BDI;SSA;AFRICA
Belgium;BEL;BEL;EUROPE
Benin;BEN;SSA;AFRICA
Bonaire, Sint Eustatius and Saba;BES;LAM;AMERICAS
Burkina Faso;BFA;SSA;AFRICA
Bangladesh;BGD;OAS;ASIA
Bulgaria;BGR;BGR;EUROPE
Bahrain;BHR;MEA;ASIA
Bahamas;BHS;LAM;AMERICAS
Bosnia and Herzegovina;BIH;NEU;EUROPE
Saint Barthelemy;BLM;LAM;AMERICAS
Belarus;BLR;REF;EUROPE
Belize;BLZ;LAM;AMERICAS
Bermuda;BMU;LAM;AMERICAS
Bolivia, Plurinational State of;BOL;LAM;AMERICAS
Brazil;BRA;LAM;AMERICAS
Barbados;BRB;LAM;AMERICAS
Brunei Darussalam;BRN;OAS;ASIA
Bhutan;BTN;OAS;ASIA
Bouvet Island;BVT;LAM;AMERICAS
Botswana;BWA;SSA;AFRICA
Central African Republic;CAF;SSA;AFRICA
Canada;CAN;CAZ;AMERICAS
Cocos (Keeling) Islands;CCK;OAS;ASIA
China;CHN;CHA;ASIA
Switzerland;CHE;NEU;EUROPE
Chile;CHL;LAM;AMERICAS
Cote d Ivoire;CIV;SSA;AFRICA
Cameroon;CMR;SSA;AFRICA
Congo, the Democratic Republic of the;COD;SSA;AFRICA
Congo;COG;SSA;AFRICA
Cook Islands;COK;OAS;OCEANIA
Colombia;COL;LAM;AMERICAS
Comoros;COM;SSA;AFRICA
Cape Verde;CPV;SSA;AFRICA
Costa Rica;CRI;LAM;AMERICAS
Cuba;CUB;LAM;AMERICAS
Curacao;CUW;LAM;AMERICAS
Christmas Island;CXR;OAS;OCEANIA
Cayman Islands;CYM;LAM;AMERICAS
Cyprus;CYP;CYP;EUROPE
Czech Republic;CZE;CZE;EUROPE
Germany;DEU;DEU;EUROPE
Djibouti;DJI;SSA;AFRICA
Dominica;DMA;LAM;AMERICAS
Denmark;DNK;DNK;EUROPE
Dominican Republic;DOM;LAM;AMERICAS
Algeria;DZA;MEA;AFRICA
Ecuador;ECU;LAM;AMERICAS
Egypt;EGY;MEA;AFRICA
Eritrea;ERI;SSA;AFRICA
Western Sahara;ESH;MEA;AFRICA
Spain;ESP;ESP;EUROPE
Estonia;EST;ELL;EUROPE
Ethiopia;ETH;SSA;AFRICA
Finland;FIN;FIN;EUROPE
Fiji;FJI;OAS;OCEANIA
Falkland Islands (Malvinas);FLK;LAM;AMERICAS
France;FRA;FRA;EUROPE
Faroe Islands;FRO;ELL;EUROPE
Micronesia, Federated States of;FSM;OAS;OCEANIA
Gabon;GAB;SSA;AFRICA
United Kingdom;GBR;GBR;EUROPE
Georgia;GEO;REF;ASIA
Guernsey;GGY;ELL;EUROPE
Ghana;GHA;SSA;AFRICA
Gibraltar;GIB;ELL;EUROPE
Guinea;GIN;SSA;AFRICA
Guadeloupe;GLP;LAM;AMERICAS
Gambia;GMB;SSA;AFRICA
